 #                                                                                ref per =   0.0 secs


  level    radius        rho         vpv         vph         vsv         vsh         eta         qmu         qkap
   168   1695985.2     3492.73     6155.89     6155.89     4712.99     4712.99     1.00000        0.00        0.00
   169   1697100.0     3492.55     6155.26     6155.26     4712.80     4712.80     1.00000        0.00        0.00
   170   1697100.0     2945.80     5600.29     5600.29     4010.00     4010.00     1.00000        0.00        0.00
   171   1706263.9     2944.26     5594.80     5594.80     4008.50     4008.50     1.00000        0.00        0.00
   172   1716542.6     2942.55     5586.57     5586.57     4006.85     4006.85     1.00000        0.00        0.00
   173   1726821.3     2940.80     5584.26     5584.26     4005.16     4005.16     1.00000        0.00        0.00
   174   1737100.0     2939.04     5575.84     5575.84     4003.46     4003.46     1.00000        0.00        0.00

integration precision =  0.1000E-07  root precision =  0.1000E-07  gravity cut off =  0.6283     rad/s


      mode        phs vel       w(mhz)          t(secs)      grp vel(km/s)        q             raylquo

    0 s    0    22.31238        1.022142        978.3376        0.000000        0.000000       0.1852761E-07
    1 s    0    73.98307        3.389203        295.0546        0.000000        0.000000      -0.7900739E-07
    2 s    0    110.0770        5.042686        198.3070        0.000000        0.000000      -0.2848338E-06
    3 s    0    143.3751        6.568092        152.2512        0.000000        0.000000      -0.4185687E-06
    4 s    0    181.7864        8.327731        120.0807        0.000000        0.000000      -0.4316687E-06
